Ville,Temperature_minimale,Temperature_maximale,Hauteur_precipitations,Duree_ensoleillement
Ajaccio,12.3,22.5,515.8,2854.5
Bastia,12.6,22.0,921.0,2613.6
Beauvais,7.7,16.1,864.7,1430.3
Biarritz,11.5,19.2,1819.4,1812.7
Bordeaux,10.6,19.3,1016.8,1871.5
Brest,8.9,15.5,1437.2,1363.2
Caen,8.4,16.1,749.4,1633.6
Chartres,8.1,16.3,833.5,1496.3
Clermont-Ferrand,8.4,18.2,715.2,1841.0
Colmar,7.8,17.7,700.6,1771.2
Dijon,8.1,16.9,881.3,1633.7
Lyon,9.4,18.6,989.3,1838.3
Melun,8.4,16.7,998.7,1511.8
Montelimar,10.4,19.5,1030.9,2362.3
Montpellier,11.5,21.1,579.7,2596.2
Nantes,9.2,17.1,1023.3,1674.0
Nice,14.2,20.7,1017.6,2731.8
Orleans,8.3,16.5,828.0,1545.0
Paris,10.1,17.0,901.1,1509.0
Perpignan,12.9,21.9,517.9,2467.3
Poitiers,8.7,17.5,808.5,1694.0
Quimper,9.2,16.1,1287.2,1562.2
Strasbourg,8.4,17.3,796.6,1633.7
Toulouse,10.5,19.6,606.6,1971.8
Tours,9.1,17.1,841.4,1608.7
